Data Source in SDW: null
,SEC.M.AT.1000.F33200.N.1.Z01.E.Z,SEC.M.BE.1000.F33200.N.1.Z01.E.Z,SEC.M.BG.1000.F33200.N.1.Z01.E.Z,SEC.M.CY.1000.F33200.N.1.Z01.E.Z,SEC.M.CZ.1000.F33200.N.1.Z01.E.Z,SEC.M.DE.1000.F33200.N.1.Z01.E.Z,SEC.M.DK.1000.F33200.N.1.Z01.E.Z,SEC.M.EE.1000.F33200.N.1.Z01.E.Z,SEC.M.ES.1000.F33200.N.1.Z01.E.Z,SEC.M.FI.1000.F33200.N.1.Z01.E.Z,SEC.M.FR.1000.F33200.N.1.Z01.E.Z,SEC.M.GB.1000.F33200.N.1.Z01.E.Z,SEC.M.GR.1000.F33200.N.1.Z01.E.Z,SEC.M.HR.1000.F33200.N.1.Z01.E.Z,SEC.M.HU.1000.F33200.N.1.Z01.E.Z,SEC.M.I8.1000.F33200.N.1.Z01.E.Z,SEC.M.IE.1000.F33200.N.1.Z01.E.Z,SEC.M.IT.1000.F33200.N.1.Z01.E.Z,SEC.M.LT.1000.F33200.N.1.Z01.E.Z,SEC.M.LU.1000.F33200.N.1.Z01.E.Z,SEC.M.LV.1000.F33200.N.1.Z01.E.Z,SEC.M.MT.1000.F33200.N.1.Z01.E.Z,SEC.M.NL.1000.F33200.N.1.Z01.E.Z,SEC.M.PL.1000.F33200.N.1.Z01.E.Z,SEC.M.PT.1000.F33200.N.1.Z01.E.Z,SEC.M.RO.1000.F33200.N.1.Z01.E.Z,SEC.M.SE.1000.F33200.N.1.Z01.E.Z,SEC.M.SI.1000.F33200.N.1.Z01.E.Z,SEC.M.SK.1000.F33200.N.1.Z01.E.Z,SEC.M.U2.1000.F33200.N.1.Z01.E.Z
2015Mar,448791.000,502354.066,,14310.000,,2941819.000,,1532.000,1549877.000,212961.000,3172658.000,,102497.000,,,15362954.114,819691.197,2732643.040,11888.096,748767.670,6936.000,7201.082,1750621.954,,223213.260,,,29877.174,43472.325,15362954.114
2015Feb,449411.000,513113.042,,14669.000,,2955347.000,,1548.000,1550657.000,206201.000,3132741.000,,105297.000,,,15274414.838,822155.250,2723981.400,11575.998,702512.764,6776.000,7022.099,1733022.113,,225185.600,,,29662.196,43194.126,15274414.838
2015Jan,447031.000,509859.377,,14413.000,,2952330.000,,1590.000,1539029.000,205178.000,3106956.000,,108918.000,,,15228985.560,820639.473,2741948.940,11578.920,694527.690,6684.000,7020.577,1724556.983,,223806.500,,,29623.797,42951.053,15228985.560
2014Dec,448167.000,506056.754,8500.920,14206.000,88021.369,2956558.000,626742.912,1585.000,1548406.000,202810.000,3087238.000,4368841.957,108810.000,22177.200,70085.400,15124464.421,804995.355,2727845.620,12362.368,662450.611,6498.000,7000.989,1697617.885,197983.478,219410.550,39251.738,614234.217,29073.748,43029.290,15112102.053
2014Nov,448620.000,506495.125,,13936.000,,2980984.000,,1562.000,1543121.000,203310.000,3095942.000,,112411.000,,,15197385.148,819664.524,2754840.180,12210.524,661200.833,6400.000,6964.038,1683632.542,,221542.740,,,28755.741,43449.650,15185174.624
2014Oct,445279.000,505683.932,,13785.000,,2966718.000,,1560.000,1539052.000,202159.000,3069755.000,,113272.000,,,15160150.025,816749.417,2764772.300,12170.725,674451.064,6428.000,7013.695,1677718.813,,221246.210,,,27827.323,43152.796,15147979.300
2014Sep,453439.000,503785.483,,13782.000,,2972434.000,,1548.000,1568985.000,202334.000,3081319.000,,114986.000,,,15193282.325,818601.926,2763361.380,11085.549,649580.852,6386.000,6947.725,1673718.751,,232211.540,,,27963.282,43457.086,15182196.776
2014Aug,451245.000,514406.463,,13534.000,,2969063.000,,1555.000,1571467.000,200442.000,3055349.000,,114024.000,,,15151207.623,805501.455,2778828.000,10800.435,642336.846,6250.000,6963.104,1659729.361,,231481.570,,,27726.426,43149.213,15140407.188
2014Jul,451125.000,515728.444,,13477.000,,2961354.000,,1557.000,1580957.000,200201.000,3056552.000,,118617.000,,,15200892.689,818942.369,2809700.210,10924.442,642474.494,6188.000,6372.004,1654148.946,,234436.390,,,27686.249,43095.390,15189968.247
2014Jun,460378.000,513711.471,,14884.000,,2973352.000,,1599.000,1595520.000,199817.000,3067654.000,,117218.000,,,15262837.764,829886.382,2821913.670,10782.944,632550.764,6078.000,6571.424,1656286.416,,236281.660,,,27885.445,43111.837,15252054.819
2014May,457778.000,510757.642,,14241.000,,2982128.000,,1606.000,1605535.000,200778.000,3041195.000,,121340.000,,,15257520.812,814051.679,2829373.520,11280.852,628548.044,6073.000,6317.180,1661959.702,,241326.530,,,27701.972,42664.691,15246239.960
2014Apr,457219.000,509483.668,,14096.000,,2955780.000,,1606.000,1597088.000,198449.000,2969124.000,,129774.000,,,15117224.135,802531.229,2824305.280,10991.161,613159.608,6020.000,6306.363,1655239.643,,245218.450,,,27583.679,43384.054,15106232.974
2014Mar,456239.000,507790.059,,14119.000,,2966272.000,,1606.000,1623126.000,198277.000,3006930.000,,128068.000,,,15140438.469,803086.915,2801807.920,10962.456,606431.992,5413.000,6234.318,1636186.906,,246967.350,,,27164.311,43891.241,15129476.013
2014Feb,457259.000,513089.013,,14101.000,,2975126.000,,1614.000,1632354.000,195339.000,2990868.000,,128372.000,,,15199215.272,838857.126,2825674.340,10955.610,617316.712,5387.000,6071.217,1620543.854,,252193.950,,,27154.492,43073.957,15188259.661
2014Jan,460762.000,509553.987,,14299.000,,2961391.000,,1614.000,1652148.000,193784.000,2967826.000,,128387.000,,,15167216.588,845604.131,2812910.430,10943.687,614990.239,5347.000,5825.673,1618071.414,,252279.510,,,24726.078,42888.439,15156272.901
2013Dec,461566.000,504308.688,6712.138,14432.000,87118.387,2991157.000,614362.608,1519.000,1660998.000,190571.000,2959114.000,3674156.171,130413.000,20332.263,64773.647,15163337.916,831691.731,2811553.410,10351.880,600284.909,4319.000,5821.685,1626105.796,215892.690,249552.900,33372.620,616526.058,24596.886,41116.030,15148667.036
2013Nov,462471.000,504067.051,,14422.000,,3011578.000,,1463.000,1675942.000,190199.000,2968424.000,,134838.000,,,15293583.304,840912.683,2840481.620,10405.201,606628.053,4366.000,5818.029,1662038.687,,251473.750,,,22991.559,41198.671,15278812.103
2013Oct,458308.000,504114.174,,13435.000,,2989531.000,,1465.000,1673710.000,189603.000,2941610.000,,134886.000,,,15185239.273,833096.636,2825494.010,10273.551,600600.837,4311.000,5567.393,1645428.633,,251228.340,,,21499.251,40212.448,15170654.722
2013Sep,470133.000,502511.396,,13103.000,,2988382.000,,1482.000,1704627.000,187965.000,2942444.000,,134905.000,,,15199715.751,835458.468,2807079.190,10317.199,592524.835,4289.000,5806.882,1649369.600,,253229.930,,,21666.854,40556.398,15185109.553
2013Aug,468335.000,512877.719,,13161.000,,2989233.000,,1483.000,1710755.000,181247.000,2934195.000,,136031.000,,,15199400.650,843981.670,2803825.930,10365.784,583726.307,4322.000,5731.237,1648823.004,,256535.980,,,21872.389,40533.631,15184712.867
2013Jul,468002.000,505723.267,,13170.000,,2985037.000,,1475.000,1725000.000,178759.000,2929113.000,,138718.000,,,15215015.994,849929.553,2820598.450,10487.532,580977.940,4309.000,5760.210,1644550.326,,258676.970,,,21858.071,40505.675,15200219.463
2013Jun,468677.000,502573.201,,13107.000,,3010030.000,,1475.000,1742704.000,184120.000,2956923.000,,138921.000,,,15320471.491,863774.061,2827822.570,10563.840,569428.555,4220.000,5754.594,1666645.882,,258647.980,,,21917.348,40801.460,15305687.651
2013May,472077.000,497680.002,,14852.000,,3036205.000,,1364.000,1762587.000,181585.000,2944879.000,,144844.000,,,15361530.275,863805.119,2822464.230,10576.824,578487.669,4111.000,5757.034,1664669.249,,260172.570,,,22687.525,40361.053,15346842.451
2013Apr,469978.000,485840.724,,15608.000,,3031967.000,,1361.000,1753395.000,180543.000,2927300.000,,148396.000,,,15275560.194,874281.179,2797731.870,10511.251,570060.267,4064.000,5699.057,1649589.460,,256676.180,,,20503.757,39689.449,15260984.943
2013Mar,465805.000,486548.957,,15929.000,,3045732.000,,1362.000,1778460.000,177140.000,2915000.000,,155911.000,,,15295559.087,871028.243,2809686.910,10706.345,551649.492,4119.000,5728.587,1654454.534,,256244.460,,,19430.194,38258.365,15280733.742
2013Feb,467824.000,495323.570,,16014.000,,3070415.000,,1368.000,1771590.000,178430.000,2891448.000,,157491.000,,,15288373.777,848478.140,2807155.390,11265.580,557963.797,4027.000,5523.882,1656264.803,,257137.330,,,19196.602,39092.682,15273081.197
2013Jan,468103.000,493566.734,,16513.000,,3066315.000,,1371.000,1777287.000,176550.000,2868481.000,,157872.000,,,15248214.433,840107.284,2824450.160,10770.691,545472.712,3993.000,5535.067,1646789.410,,259683.140,,,19204.132,35650.103,15233450.742
2012Dec,467531.000,490236.622,6104.361,16621.000,88257.127,3103075.000,643149.310,1371.000,1771126.000,175743.000,2874438.000,3970200.956,158373.000,-,63002.258,15272793.920,858954.824,2796472.070,10836.558,540215.884,3991.000,5544.242,1658058.069,207544.674,254977.340,24624.545,573106.036,19270.594,35458.718,15257966.362
2012Nov,475220.000,501378.171,,16660.000,,3129364.000,,1376.000,1683032.000,175779.000,2881986.000,,196020.000,,,15197174.843,864653.725,2811513.040,-,487088.714,3656.995,5489.186,1652095.503,,256462.830,,,19262.092,36137.587,15193517.848
2012Oct,475363.000,492185.170,,16236.000,,3131601.000,,1376.000,1672277.000,174934.000,2862072.000,,196067.000,,,15140692.906,860956.860,2806776.400,,478258.320,3577.995,5356.101,1652991.092,,256234.040,,,19384.596,35046.333,15137114.911
2012Sep,477218.000,492916.601,,16229.000,,3139511.000,,1381.000,1678415.000,172432.000,2865394.000,,196125.000,,,15111432.518,862385.200,2789423.960,,459995.028,3582.304,5357.316,1642656.186,,255801.090,,,17733.721,34876.112,15107850.214
2012Aug,475123.000,504889.876,,16239.000,,3156280.000,,1376.000,1671875.000,171656.000,2857020.000,,194801.000,,,15117065.806,866941.371,2778234.810,,453564.134,3591.954,5574.130,1652985.548,,254334.340,,,17881.893,34697.750,15113473.852
2012Jul,477228.000,505418.451,,16502.000,,3151380.000,,1379.000,1682422.000,172905.000,2862552.000,,196450.000,,,15154288.267,879594.695,2784706.180,,454390.229,3620.170,5580.340,1654141.017,,254006.370,,,17881.814,34131.001,15150668.098
2012Jun,479140.000,502936.037,,16443.000,,3150757.000,,1382.000,1701108.000,170711.000,2889213.000,,201116.000,,,15140244.995,864992.158,2763645.140,,436845.216,3546.720,5576.797,1647139.604,,253118.420,,,18738.373,33836.529,15136698.274
2012May,479903.000,500289.903,,15247.000,,3159929.000,,1388.000,1693024.000,169141.000,2874318.000,,200799.000,,,15130924.770,873121.095,2746891.570,,432910.680,3510.105,5402.724,1661929.513,,260728.220,,,18947.252,33444.709,15127414.666
2012Apr,476242.000,493919.752,,15092.000,,3153705.000,,1386.000,1691631.000,164001.000,2851196.000,,205146.000,,,15024484.021,852705.766,2732977.960,,418079.407,3432.943,5474.873,1644521.627,,263008.870,,,18952.973,33010.850,15021051.078
2012Mar,476854.000,491440.626,,15067.000,,3154305.000,,1095.000,1709934.000,160316.000,2839815.000,,214597.000,,,15020246.179,852892.449,2758814.660,,386153.952,3408.539,5434.092,1635790.417,,263394.890,,,18951.659,31981.895,15016837.640
2012Feb,479166.000,491186.929,,15644.000,,3157454.000,,1102.000,1699913.000,157176.000,2822705.000,,340941.000,,,15038691.864,845408.930,2733589.580,,350780.999,3352.899,5438.273,1616496.312,,267939.740,,,19251.887,31145.315,15035338.965
2012Jan,480731.000,494387.293,,16291.000,,3128844.000,,1113.000,1664832.000,152523.000,2774757.000,,339622.000,,,14915134.156,851954.778,2728769.660,,340113.191,2669.146,5168.451,1617034.748,,265278.990,,,20277.711,30767.188,14912465.010
2011Dec,477701.000,487944.212,4842.888,16792.000,70406.678,3161791.000,637623.685,1116.000,1645638.000,149556.000,2755715.000,3649385.634,339703.000,-,58634.958,14867512.759,861890.475,2676919.492,10199.884,336398.053,2659.042,5172.452,1628868.822,179233.288,269362.270,16462.375,544301.616,20356.531,29929.410,14864853.717
2011Nov,476876.000,472996.090,,15637.000,,3184036.000,,1109.000,1626303.000,147810.000,2746385.000,,339984.000,,,14786018.079,855219.914,2644384.222,,331826.778,2090.557,5166.461,1623486.559,,263009.820,,,19693.947,30003.731,14783927.522
2011Oct,476982.000,468619.691,,15356.000,,3151389.000,,1109.000,1609682.000,146364.000,2714347.000,,339736.000,,,14663072.283,851277.708,2632739.903,,326286.515,2200.142,4989.674,1610150.141,,261758.070,,,19871.706,30213.733,14660872.141
2011Sep,477722.000,466582.023,,15440.000,,3152226.000,,1110.000,1606369.000,145273.000,2687501.000,,340152.000,,,14621539.830,857836.577,2607698.822,,328148.886,2206.401,4998.018,1616632.354,,261877.130,,,19785.010,29981.609,14619333.429
2011Aug,475098.000,474234.432,,15310.000,,3159183.000,,1110.000,1591921.000,142406.000,2655297.000,,340108.000,,,14592592.819,855354.560,2621710.282,,328651.583,2159.876,5004.725,1612852.838,,262517.190,,,20011.235,29663.099,14590432.943
2011Jul,477164.000,471793.260,,15070.000,,3131694.000,,1093.000,1587819.000,140643.000,2671305.000,,345728.000,,,14611314.299,867219.955,2629511.837,,337866.952,2148.294,4978.883,1616960.669,,260646.870,,,20003.362,29668.217,14609166.005
2011Jun,471355.000,469554.650,,13216.000,,3150395.000,,872.000,1600672.000,138665.000,2675552.000,,344261.000,,,14606482.229,863070.892,2615355.086,,335775.578,2104.892,4976.132,1613147.829,,257970.870,,,20021.427,29516.874,14604377.337
2011May,469462.000,468923.680,,12962.000,,3157067.000,,875.000,1603107.000,136808.000,2627780.000,,341028.000,,,14559928.184,867100.129,2614974.593,,329747.360,1760.395,4969.183,1610165.397,,263657.670,,,20314.909,29225.869,14558167.790
2011Apr,469244.000,463165.010,,11901.000,,3139230.000,,875.000,1597895.000,135280.000,2588706.000,,345484.000,,,14455671.267,866500.992,2604763.758,,323558.942,1844.072,4761.174,1589010.907,,264089.640,,,20368.939,28992.833,14453827.195
2011Mar,467579.000,459840.462,,12024.000,,3115980.000,,877.000,1603094.000,132837.000,2588445.000,,347787.000,,,14419439.811,873817.311,2584432.588,,318880.515,1829.457,4770.602,1593186.171,,263941.820,,,21073.223,29044.662,14417610.354
2011Feb,468579.000,463357.896,,11926.000,,3118501.000,,886.000,1585779.000,131236.000,2568599.000,,355391.000,,,14428918.788,889745.063,2582088.870,,321947.947,1828.247,4776.472,1612848.733,,263244.800,,,19221.996,28961.763,14427090.541
2011Jan,464648.000,459840.624,,12244.000,,3099802.000,,882.000,1567729.000,130453.000,2545250.000,,351854.000,,,14340504.481,896751.890,2575673.409,,319364.852,1830.725,4671.860,1607574.122,,255009.360,,,19337.536,27588.103,14338673.756
2010Dec,470610.000,451618.274,4545.700,12476.000,65541.199,3088127.000,638331.254,974.028,1557977.000,128931.000,2531107.000,3180081.324,345688.000,-,64729.811,14288411.521,895777.679,2558908.481,8993.762,324517.612,1778.827,4677.656,1620968.722,177884.277,250239.120,11429.068,512725.671,18174.731,27639.218,14287437.493
2010Nov,474399.000,450655.226,,12648.000,,3117662.000,,964.034,1539695.000,127568.000,2536963.000,,326029.000,,,14350361.386,908010.951,2578380.259,,334690.227,,4690.956,1651787.830,,240318.530,,,18214.953,27684.420,14349397.352
2010Oct,472141.000,448904.002,,11378.000,,3039317.000,,962.070,1527762.000,122839.000,2499439.000,,324450.000,,,14119543.083,883459.678,2572764.765,,326351.379,,4591.717,1608744.906,,230690.850,,,18108.311,27639.405,14118581.013
2010Sep,470711.000,448786.993,,11275.000,,3044109.000,,950.419,1513439.000,121766.000,2492410.000,,324472.000,,,14064269.294,881998.232,2554687.491,,328128.882,,4620.311,1593654.039,,229789.370,,,18101.745,25369.813,14063318.875
2010Aug,468016.000,462480.555,,13602.000,,3040054.000,,951.097,1509241.000,123003.000,2486161.000,,324402.000,,,14110198.786,917394.157,2550791.028,,339792.620,,4638.006,1599521.808,,227139.850,,,18112.982,24897.682,14109247.688
2010Jul,467674.000,459010.922,,14025.000,,3034016.000,,949.663,1502667.000,123511.000,2481629.000,,325359.000,,,14044764.419,894097.823,2547795.892,,334986.951,,4413.537,1587921.433,,223537.710,,,18132.448,25037.039,14043814.755
2010Jun,470078.000,447179.718,,14304.000,,3064454.000,,951.454,1481731.000,123783.000,2490307.000,,322209.000,,,14067114.151,909778.017,2538290.266,,339556.645,,4423.139,1600708.946,,216240.740,,,18078.292,25040.933,14066162.696
2010May,467301.000,437701.462,,15386.000,,3077519.000,,958.700,1478899.000,122765.000,2455338.000,,327584.000,,,14064057.099,912466.335,2555933.360,,342164.624,,4453.780,1612248.557,,210653.960,,,17983.572,24700.749,14063098.400
2010Apr,462434.000,441281.930,,14824.000,,3068016.000,,958.504,1479937.000,122113.000,2420982.000,,328375.000,,,13966749.516,897164.107,2538114.330,,337235.907,,4294.941,1590663.904,,217970.150,,,17859.836,24524.907,13965791.012
2010Mar,461918.000,440964.844,,14916.000,,3057737.000,,998.017,1466081.000,119454.000,2415978.000,,322288.000,,,13893692.864,885494.463,2526913.967,,332825.408,,4250.089,1588703.140,,214893.440,,,17181.541,23095.954,13892694.847
2010Feb,457784.000,444026.560,,14438.000,,3035231.000,,990.002,1450209.000,115142.000,2382757.000,,314454.000,,,13780630.881,880571.644,2522505.503,,327322.459,,4222.065,1578916.029,,212380.350,,,17048.931,22632.339,13779640.880
2010Jan,455671.000,439777.691,,13389.000,,3022111.000,,989.073,1448790.000,114256.000,2358946.000,,306809.000,,,13697786.479,884647.757,2514981.265,,326872.761,,4166.172,1554781.112,,210325.460,,,17077.214,24195.975,13696797.407
2009Dec,460220.000,435046.290,4171.771,13516.000,56356.288,3021017.000,612858.314,1034.597,1455286.000,111930.000,2323224.000,2930494.284,304634.000,-,63077.446,13617358.945,874036.990,2504311.689,7352.309,324013.885,1604.540,4159.527,1539367.409,147133.147,206433.100,8461.884,423898.069,15574.469,23553.989,13616324.348
2009Nov,461471.000,417928.383,,13445.000,,3076670.000,,1050.119,1453432.000,112217.000,2309728.000,,304503.000,,,12970909.828,,2503588.527,,322879.545,,4120.958,1541097.922,,203824.600,,,15207.004,23302.745,12969859.709
2009Oct,463129.000,417308.116,,13480.000,,3057424.000,,1058.706,1435689.000,109903.000,2295007.000,,297544.000,,,12888724.694,,2501309.359,,322173.827,,4052.489,1525665.172,,200303.450,,,15263.893,23026.506,12887665.988
2009Sep,461152.000,409749.575,,14020.000,,3054890.000,,1797.959,1428869.000,106392.000,2292810.000,,295886.000,,,12832090.306,,2487650.410,,313798.250,,4020.051,1526220.849,,196596.920,,,15226.467,22658.712,12830292.347
2009Aug,458124.000,407609.771,,13849.000,,3061490.000,,1756.994,1411695.000,106014.000,2281536.000,,295082.000,,,12768796.048,,2457955.374,,309255.002,,4072.731,1528133.493,,198253.590,,,13238.856,22190.050,12767039.054
2009Jul,456938.000,406360.720,,13912.000,,3048794.000,,1768.969,1413518.000,104838.000,2275025.000,,293548.000,,,12726477.697,,2438613.612,,305945.065,,3985.139,1537492.669,,195458.030,,,13223.324,21654.759,12724708.729
2009Jun,458209.000,401574.946,,13922.000,,3075107.000,,1772.304,1402786.000,104508.000,2266294.000,,293247.000,,,12683068.507,,2405313.149,,297277.191,,3816.866,1537472.030,,196007.200,,,11699.191,21377.133,12681296.203
2009May,454533.000,393309.097,,12900.000,,3069414.000,,1788.523,1381579.000,102695.000,2207024.000,,292091.000,,,12556701.699,,2405362.495,,293066.003,,3756.845,1534083.298,,185829.010,,,11743.820,21087.315,12554913.177
2009Apr,453442.000,390315.307,,12945.000,,3037536.000,,1790.450,1362733.000,101266.000,2170555.000,,281916.000,,,12407349.235,,2394183.216,,290062.605,,3727.951,1511588.776,,181103.570,,,11864.354,18860.842,12405558.785
2009Mar,446570.000,375127.620,,12966.000,,3040128.000,,1799.160,1334216.000,105542.000,2145775.000,,285952.000,,,12323680.444,,2382501.207,,286222.850,,3664.041,1506721.724,,178891.540,,,10360.507,19582.382,12321881.285
2009Feb,446203.000,385467.991,,13192.000,,3017278.000,,1778.176,1311460.000,100152.000,2131374.000,,275604.000,,,12187794.440,,2332127.583,,288914.025,,3892.586,1492971.325,,172623.920,,,10816.028,19257.674,12186016.264
2009Jan,440761.000,380057.108,,13318.000,,3003020.000,,1782.178,1281888.000,98251.000,2097642.000,,265845.000,,,12013763.861,,2301783.271,,291735.707,,3887.326,1450889.549,,168558.360,,,10023.789,19055.585,12011981.683
2008Dec,429555.000,364427.505,4507.082,13675.000,48718.474,3006043.000,457013.126,1825.710,1282561.000,96002.000,2049275.000,,266175.000,-,67494.458,11868530.854,,2270898.229,5368.313,281725.731,1649.584,3817.246,1434482.251,130680.872,164127.540,5386.741,355304.140,9717.665,19999.404,11846705.740
2008Nov,425419.000,357027.884,,14131.000,,3018334.000,,1851.897,1259149.000,97252.000,2013717.000,,265292.000,,,11564129.705,,2257480.117,,71841.600,,3850.271,1416456.330,,160163.530,,,9471.017,19690.193,11542587.615
2008Oct,425426.000,349529.933,,14243.000,,3007867.000,,1840.831,1222382.000,96490.000,1991036.000,,259977.000,,,11415566.431,,2200291.329,,71616.200,,3851.922,1416836.628,,158623.580,,,9485.698,19556.191,11394169.408
2008Sep,413415.000,335679.257,,14128.000,,3011500.000,,1857.037,1228869.000,95031.000,1962212.000,,257117.000,,,11311975.784,,2169053.612,,70427.400,,3757.103,1394773.885,,158274.380,,,9470.240,19473.772,11290644.975
2008Aug,406430.000,343477.754,,14177.000,,3030859.000,,1835.849,1226699.000,94353.000,1956877.000,,254833.000,,,11330073.801,,2178691.473,,71198.900,,3716.214,1389395.429,,157374.460,,,9582.585,19318.995,11308918.957
2008Jul,404164.000,342357.286,,14302.000,,2997932.000,,1845.304,1223041.000,92627.000,1943078.000,,251565.000,,,11232081.693,,2153912.880,,68347.000,,3621.288,1378828.636,,155316.810,,,9578.223,18693.782,11211542.607
2008Jun,400266.000,345212.410,,10480.000,,2985810.000,,1866.709,1211587.000,98221.000,1947356.000,,247964.000,,,11188847.248,,2135324.244,,66278.100,,3612.863,1377838.894,,155998.080,,,9543.738,18642.520,11168338.019
2008May,395696.000,328865.543,,10939.000,,2979993.000,,1924.884,1188587.000,96919.000,1926222.000,,251594.850,,,11103464.542,,2121504.147,,66774.900,,3526.717,1372861.467,,154825.600,,,9549.037,18393.690,11083145.969
2008Apr,393857.000,320257.770,,10841.000,,2963440.000,,2004.240,1163406.000,96875.000,1888046.000,,246648.000,,,10973212.379,,2111153.241,,67486.400,,3526.311,1358478.371,,146511.130,,,9472.274,17348.968,10953859.172
2008Mar,393830.000,310422.699,,10990.000,,2961989.000,,1967.358,1146405.000,94024.000,1887776.000,,248885.000,,,10893341.798,,2086688.898,,65415.000,,3521.173,1334937.226,,145850.270,,,9991.551,16998.240,10874376.200
2008Feb,394092.000,324201.318,,11178.000,,2964959.000,,1960.860,1139668.000,95046.000,1888343.000,,253031.000,,,10898783.622,,2064414.361,,65257.400,,3534.458,1347472.412,,142271.340,,,9998.880,17563.073,10879259.689
2008Jan,392099.000,320932.247,,11398.000,,2980829.000,,1946.429,1134115.000,94892.000,1871640.000,,234046.000,,,10848185.226,,2043394.643,,70336.800,,3541.179,1344419.937,,141623.650,,,9073.786,16812.253,10829426.544
2007Dec,390689.000,317332.748,-,11919.285,-,2980372.000,504244.667,-,1152354.000,95569.000,1872086.000,,220909.000,-,-,10846882.752,,2029368.183,5376.194,71869.100,1572.430,3547.505,1354962.453,,140170.410,-,344779.325,9032.882,17474.732,10813941.230
2007Nov,391099.000,314601.941,,11562.821,,3010800.000,,-,1139697.000,94772.000,1876279.000,,217818.000,,,10813292.844,,2019830.687,,73211.700,,3531.454,1318880.909,,136975.780,,,8959.808,17647.814,10780550.755
2007Oct,390712.000,309892.235,,11650.120,,3002356.000,,-,1121163.000,95954.000,1868501.000,,216091.000,,,10772897.745,,2020473.060,,72258.500,,3538.863,1312358.865,,136474.130,,,8990.661,17470.376,10740238.386
2007Sep,394529.000,315716.477,,11485.793,,2972758.000,,-,1118193.000,96790.000,1865184.000,,214066.000,,,10713205.888,,2006284.947,,73865.800,,3474.354,1294112.253,,134433.890,,,8991.078,17148.172,10681097.570
2007Aug,392073.000,312217.820,,11413.899,,2979152.000,,-,1120618.000,97040.000,1865582.000,,211191.000,,,10727157.704,,2013778.086,,73465.000,,3487.205,1292573.246,,133569.760,,,8988.516,17223.643,10695032.957
2007Jul,391641.000,308937.734,,11415.611,,2994165.000,,-,1121015.000,96859.000,1859812.000,,209806.000,,,10730619.593,,2013514.973,,72260.800,,3487.000,1287383.033,,136081.430,,,8970.921,17375.078,10698341.904
2007Jun,389995.000,305539.565,,11545.314,,2990219.000,,-,1109931.000,101777.000,1865294.000,,207373.000,,,10709491.151,,2013117.951,,71847.170,,3381.957,1285516.918,,132555.050,,,9069.931,17304.389,10677259.491
2007May,383301.000,301608.744,,10428.669,,3004012.000,,-,1083747.000,100645.000,1839641.000,,215159.000,,,10625697.459,,1995423.199,,69345.114,,3453.962,1273779.559,,126650.500,,,9090.519,16939.596,10594875.232
2007Apr,382713.000,294793.305,,10734.638,,2976664.000,,-,1058999.000,95595.000,1817021.000,,209562.000,,,10460950.237,,1959659.315,,70097.230,,3353.711,1248279.977,,120072.750,,,9659.298,15727.341,10431134.548
2007Mar,380966.000,293592.774,,10685.380,,2960397.000,,-,1044183.000,95982.000,1811236.000,,210287.000,,,10423149.492,,1951236.488,,70734.361,,3384.437,1259375.995,,120093.690,,,9791.994,15716.115,10393363.560
2007Feb,376021.000,300022.239,,10490.162,,2955368.000,,-,1006699.000,96428.000,1795917.000,,207830.000,,,10319978.455,,1937103.872,,70621.320,,3389.823,1237159.447,,116850.470,,,9050.302,14600.659,10291497.811
2007Jan,366221.000,298199.499,,10378.434,,2953375.000,,-,985731.000,96848.000,1772901.000,,204743.000,,,10222041.080,,1919635.262,,71630.439,,3397.219,1215573.278,,118575.280,,,8914.480,14082.801,10194182.625
2006Dec,357090.000,294001.390,4613.171,10209.270,35472.512,2931349.000,467182.403,1490.186,970732.000,96902.000,1765179.000,,199636.000,-,57726.040,10149348.105,,1920152.722,4305.859,70600.500,1621.562,3322.155,1206101.856,117037.648,117769.920,4362.650,327392.040,8917.502,15191.651,10111707.527
2006Nov,356041.000,295424.785,,10721.453,,2940408.000,,-,954900.000,96069.000,1748376.000,,198960.000,,,10118948.087,,1931198.200,,68416.106,,3321.780,1199877.329,,113580.450,,,9002.433,14660.984,10081241.437
2006Oct,351983.000,292035.037,,10901.213,,2927385.000,,-,937062.000,94176.000,1727899.000,,198798.000,,,10024399.284,,1921208.756,,68892.438,,3363.732,1183292.443,,112851.000,,,9013.663,14237.775,9986882.902
2006Sep,347294.000,291328.491,,10766.430,,2908363.000,,-,918269.000,92879.000,1723139.000,,197720.000,,,9927938.975,,1905695.657,,67464.679,,3375.139,1156320.245,,113210.430,,,8898.498,13799.795,9891099.114
2006Aug,342110.000,296416.122,,10645.497,,2906557.000,,-,903012.000,91595.000,1703368.000,,195878.000,,,9857581.743,,1899688.895,,67305.346,,3372.420,1140161.809,,110435.790,,,8729.516,13587.377,9821246.932
2006Jul,340692.000,294098.423,,10779.130,,2914617.000,,-,903570.000,91205.000,1702452.000,,193959.000,,,9838678.963,,1888235.490,,68142.006,,3399.686,1131273.283,,109825.610,,,8773.184,13360.456,9802366.507
2006Jun,345564.000,294202.562,,10485.217,,2894025.000,,-,881951.000,96374.000,1694672.000,,192567.000,,,9804791.960,,1890424.771,,68193.839,,3408.845,1144019.417,,110676.430,,,8721.646,13293.450,9768882.802
2006May,342363.000,294356.165,,10680.000,,2890057.000,,-,857955.000,94380.000,1678624.000,,199063.000,,,9719634.751,,1862452.641,,68091.868,,3394.540,1131738.542,,109763.370,,,8719.994,13368.265,9683471.952
