Data Source in SDW: null
,SEC.M.AT.1000.F33200.N.1.Z01.E.Z,SEC.M.BE.1000.F33200.N.1.Z01.E.Z,SEC.M.BG.1000.F33200.N.1.Z01.E.Z,SEC.M.CY.1000.F33200.N.1.Z01.E.Z,SEC.M.CZ.1000.F33200.N.1.Z01.E.Z,SEC.M.DE.1000.F33200.N.1.Z01.E.Z,SEC.M.DK.1000.F33200.N.1.Z01.E.Z,SEC.M.EE.1000.F33200.N.1.Z01.E.Z,SEC.M.ES.1000.F33200.N.1.Z01.E.Z,SEC.M.FI.1000.F33200.N.1.Z01.E.Z,SEC.M.FR.1000.F33200.N.1.Z01.E.Z,SEC.M.GB.1000.F33200.N.1.Z01.E.Z,SEC.M.GR.1000.F33200.N.1.Z01.E.Z,SEC.M.HR.1000.F33200.N.1.Z01.E.Z,SEC.M.HU.1000.F33200.N.1.Z01.E.Z,SEC.M.I8.1000.F33200.N.1.Z01.E.Z,SEC.M.IE.1000.F33200.N.1.Z01.E.Z,SEC.M.IT.1000.F33200.N.1.Z01.E.Z,SEC.M.LT.1000.F33200.N.1.Z01.E.Z,SEC.M.LU.1000.F33200.N.1.Z01.E.Z,SEC.M.LV.1000.F33200.N.1.Z01.E.Z,SEC.M.MT.1000.F33200.N.1.Z01.E.Z,SEC.M.NL.1000.F33200.N.1.Z01.E.Z,SEC.M.PL.1000.F33200.N.1.Z01.E.Z,SEC.M.PT.1000.F33200.N.1.Z01.E.Z,SEC.M.RO.1000.F33200.N.1.Z01.E.Z,SEC.M.SE.1000.F33200.N.1.Z01.E.Z,SEC.M.SI.1000.F33200.N.1.Z01.E.Z,SEC.M.SK.1000.F33200.N.1.Z01.E.Z,SEC.M.U2.1000.F33200.N.1.Z01.E.Z
2019Mar,435417.000,578990.489,,20968.000,,2949624.000,,1919.000,1631849.000,275990.000,3634805.000,,79266.000,,,16015567.872,680396.994,2687121.470,15048.468,831475.199,9927.000,9529.438,1768351.413,,240555.580,,,28457.781,50841.790,16015567.872
2019Feb,443713.000,585939.215,,20812.000,,2953372.000,,1933.000,1610137.000,272302.000,3613096.000,,76608.000,,,15947047.274,670358.223,2685232.900,14860.576,816903.755,9880.000,9413.897,1761496.627,,239299.840,,,28434.416,50220.575,15947047.274
2019Jan,436772.000,572464.560,,19657.000,,2931179.000,,1923.000,1598044.000,264526.000,3579603.000,,70849.000,,,15821423.601,668261.992,2687727.090,14743.161,813950.233,9363.000,9406.561,1738900.801,,240100.020,,,30929.594,49989.339,15821423.601
2018Dec,432386.000,567067.950,11556.156,19500.000,97980.718,2929110.000,605050.286,1909.000,1598332.000,264650.000,3537087.000,4587221.222,70951.000,28044.924,78327.429,15745029.033,660408.546,2665749.470,14653.891,812519.915,9336.000,9369.046,1754261.800,248825.766,235554.160,58432.790,621092.659,29438.711,49710.293,15745029.033
2018Nov,431118.000,564035.663,,20060.000,,2951253.000,,1961.000,1599703.000,265052.000,3543812.000,,70838.000,,,15796283.102,665761.617,2677736.420,14652.386,808058.539,9310.000,9214.659,1761050.902,,234685.630,,,29396.147,49549.889,15796283.102
2018Oct,430642.000,560510.696,,20072.000,,2939471.000,,1940.000,1589241.000,263395.000,3545724.000,,68792.000,,,15715306.032,654986.285,2667201.850,14605.019,802867.958,9273.000,9199.961,1731911.279,,234842.130,,,29406.211,52190.343,15715306.032
2018Sep,437395.000,560123.338,,21430.000,,2939039.000,,1920.000,1602488.000,217574.000,3540314.000,,70164.000,,,15672971.066,671901.689,2668771.280,14591.781,792470.827,9331.000,9174.087,1710680.380,,234143.440,,,29374.943,52050.001,15672971.066
2018Aug,435060.000,553917.831,,19907.000,,2930323.000,,1913.000,1583122.000,220419.000,3496447.000,,70168.000,,,15549531.630,656581.212,2663144.840,14149.602,784685.662,8963.000,9237.098,1700248.988,,233898.250,,,29357.395,51954.502,15549531.630
2018Jul,434062.000,554094.957,,19884.000,,2922904.000,,1914.000,1581420.000,222322.000,3496239.000,,69602.000,,,15563843.212,658316.512,2677040.170,14024.290,796914.377,8951.000,9283.951,1695700.084,,233938.580,,,29633.739,51564.302,15563843.212
2018Jun,432078.000,547340.717,,19085.000,,2935741.000,,2129.000,1588232.000,223805.000,3475702.000,,70916.000,,,15531341.385,672608.683,2649919.410,13671.506,777698.092,9106.000,9405.092,1708297.363,,232396.550,,,29651.730,51523.992,15531341.385
